TIME_NORMAL,TIME_SYMMETRIC,SIZES
0.0003577887624329506,0.00033476383868798513,10
0.0005881316090536298,0.0005453987191928878,15
0.0008701039417393451,0.00076843782795707,20
0.0011295958690739887,0.0010275359024636773,25
0.0014460192890175963,0.0013221739167756865,30
0.0018169559655169486,0.0016735057023411508,35
0.0020706776480335803,0.0020056507815635763,40
0.0026537337665789268,0.0025300755303022996,45
0.0032600461172640404,0.0030800878707682735,50
0.0038548904461528912,0.003793773189394196,55
0.004683201523364651,0.004399459881579865,60
0.00559346216201043,0.005284414415789821,65
0.006416495391024186,0.006328932559749731,70
0.007685492564885564,0.007569912939846091,75
0.008761547843478035,0.008872975415933316,80
0.009270154231481764,0.00934910462616716,85
0.01077418024731232,0.010812731752688856,90
0.011863821682351606,0.011594106747126283,95
0.013302621828945337,0.013003519389608802,100
0.09433264218181524,0.05974253299999913,150
0.1000645555999995,0.11417643840002256,170
0.13042743050000638,0.1835025733333282,190
0.19342608333334965,0.2090562871666748,210
0.30090909775000796,0.2500415439999699,230
0.38386970166664014,0.3587825525000028,250
0.42102072466661866,0.41697079899999306,270
0.5448868745000368,0.6668048170000702,290
0.6649903845000154,1.1167744159999984,310
0.8887865445000216,0.8249052664999681,330
1.0365378720000535,1.0366414879999866,350
1.3401679070000228,1.4417841399999816,370
1.6807489740000392,1.6658489149999696,390
1.9751903610000454,2.053010825000001,410
2.307093323999993,2.9933056809999243,430
2.616951970000059,2.7844725169999265,450
3.2114101460000484,3.451225243999943,470
3.646769375999952,3.90214440200009,490
3.907041829999997,3.7458703419999893,500
4.283271269000011,4.116843013999983,520
5.123227602000014,4.900226600999986,540
5.864202753000001,5.507322762000001,560
6.617055817999983,6.1206944350000185,580
7.573900275,6.938972326999988,600
17.046126576999995,9.460451331999991,620
20.582565414000015,9.192101126000011,640
16.248388234000004,10.258619683000006,660
24.535226517000012,12.166732494999962,680
16.096938795,13.37567078699999,700
14.323410846999991,15.458084023999959,720
16.637351043000024,15.979467021000005,740
18.269181016999994,17.45336620300003,760
20.054555214000004,19.79505965499999,780
20.337908760999994,19.312544790000004,800
22.396784316999998,21.447249754999973,820
24.05827507700002,23.032344302000013,840
26.285504588000038,25.117022289999966,860
28.607790378000004,27.30231570000001,880
29.955843148999975,29.28697027699991,900
45.130178871,43.0454342029999,1000
91.32129782100037,94.04983651900056,1200
162.65684099099963,161.02886191700054,1400
277.7436326829993,272.39822144000027,1600
454.8857705599994,443.6614927449991,1800
