NORMAL_TIME,SYMMETRIC_TIME,SIZE
0.000582711999413732,0.005223808000664576,10
0.005851384999914444,0.018171853000239935,60
0.022425275999921723,0.053898459000265575,110
0.2412272600004144,0.09900902300068992,160
0.2132341490005274,0.18721187899973302,210
0.338283013000364,0.3589542989993788,260
0.645023854000101,0.724360082000203,310
1.0363526170003752,1.1883043369998632,360
1.7499709699995947,1.9805911950006703,410
2.922511726000266,3.051922818998719,460
4.318999450999399,4.283543330999237,510
5.8346576680005455,6.11655308599984,560
7.939241377000144,8.706783739999082,610
10.029359144999944,10.785209468000176,660
13.39722428099958,13.928701647000707,710
16.338029155000186,17.215536788000463,760
21.00731249799992,21.950612779999574,810
26.00721519200033,27.187075653000647,860
32.47291355900052,33.66468854300001,910
38.27809621000051,38.57101235299888,960
46.266368347000025,46.77168045899998,1010
56.41389043399977,56.15912476499943,1060
66.7685173660002,66.71612340499996,1110
77.3860998350001,76.72135488200001,1160
89.88416408600006,91.4204948000006,1210
107.88175322300049,106.28260516999944,1260
119.32287601200005,121.52329868000015,1310
138.47617931199966,142.64287212099953,1360
162.14366201099983,163.85744976999922,1410
186.94756229099949,194.52367208000032,1460
216.20579417200042,225.59057661400038,1510
240.57952513499913,253.43511661799857,1560
276.5511903020015,287.87740946600024,1610
311.29708856100115,329.5432260489997,1660
