TIME_NORMAL,TIME_SYMMETRIC,SIZES
0.0003577887624329,0.0003347638386879,10
0.0005881316090536,0.0005453987191928,15
0.0008701039417393,0.000768437827957,20
0.0011295958690739,0.0010275359024636,25
0.0014460192890175,0.0013221739167756,30
0.0018169559655169,0.0016735057023411,35
0.0020706776480335,0.0020056507815635,40
0.0026537337665789,0.0025300755303022,45
0.003260046117264,0.0030800878707682,50
0.0038548904461528,0.0037937731893941,55
0.0046832015233646,0.0043994598815798,60
0.0055934621620104,0.0052844144157898,65
0.0064164953910241,0.0063289325597497,70
0.0076854925648855,0.007569912939846,75
0.008761547843478,0.0088729754159333,80
0.0092701542314817,0.0093491046261671,85
0.0107741802473123,0.0108127317526888,90
0.0118638216823516,0.0115941067471262,95
0.0133026218289453,0.0130035193896088,100
0.0943326421818152,0.0597425329999991,150
3.907041829999997,3.745870341999989,500
4.283271269000011,4.116843013999983,520
5.123227602000014,4.900226600999986,540
5.864202753000001,5.507322762000001,560
6.617055817999983,6.1206944350000185,580
7.573900275,6.938972326999988,600
20.337908760999994,19.312544790000004,800
22.396784317,21.447249754999973,820
24.05827507700002,23.032344302000013,840
26.28550458800004,25.11702228999997,860
28.607790378000004,27.30231570000001,880
29.95584314899997,29.28697027699991,900
45.130178871,43.0454342029999,1000
91.32129782100036,94.04983651900056,1200
162.65684099099963,161.02886191700054,1400
277.7436326829993,272.39822144000027,1600
454.8857705599994,443.6614927449991,1800
